ID,Problem Name,Topic,Difficulty,LeetCode URL,YouTube URL
1,"Input Output","Learn the basics",Easy,"","https://youtu.be/EAR7De6Goz4?t=250"
2,"Cpp Basics","Learn the basics",Easy,"","https://youtu.be/EAR7De6Goz4?t=2415"
3,"If ElseIf","Learn the basics",Easy,"","https://youtu.be/EAR7De6Goz4?t=1259"
4,"Switch Case","Learn the basics",Easy,"","https://youtu.be/EAR7De6Goz4"
5,"What are arrays, strings?","Learn the basics",Easy,"","https://youtu.be/EAR7De6Goz4?t=2415"
6,"For loops","Learn the basics",Easy,"","https://youtu.be/EAR7De6Goz4?t=3096"
7,"While loops","Learn the basics",Easy,"","https://youtu.be/EAR7De6Goz4?t=3459"
8,"Functions (Pass by Reference and Value)","Learn the basics",Easy,"","https://youtu.be/EAR7De6Goz4?t=3677"
9,"Theory with examples","Learn the basics",Easy,"","https://youtu.be/FPu9Uld7W-E"
10,"Easy and Medium","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
11,"Hard","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
12,"Pattern 1","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
13,"Pattern 2","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
14,"Pattern 3","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
15,"Pattern 4","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
16,"Pattern 5","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
17,"Pattern 6","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
18,"Pattern 7","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
19,"Pattern 8","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
20,"Pattern 9","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
21,"Pattern 10","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
22,"Pattern 11","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
23,"Pattern 12","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
24,"Pattern 13","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
25,"Pattern 14","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
26,"Pattern 15","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
27,"Pattern 16","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
28,"Pattern 17","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
29,"Pattern 18","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
30,"Pattern 19","Learn the basics",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
31,"Pattern 20","Learn the basics",Medium,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
32,"Pattern 21","Learn the basics",Medium,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
33,"Pattern 22","Learn the basics",Medium,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
34,"STL","Learn the basics",Easy,"","https://www.youtube.com/watch?v=RRVYpIET_RU"
35,"Java Collections","Learn the basics",Easy,"",""
