Order,Topic_Order,Topic,Subtopic,Problem_Name,Difficulty,LeetCode_URL,YouTube_URL
1,1,"Learn the basics","Things to Know in C++/Java/Python or any language","Input Output",Easy,"","https://youtu.be/EAR7De6Goz4?t=250"
2,1,"Learn the basics","Things to Know in C++/Java/Python or any language","Cpp Basics",Easy,"","https://youtu.be/EAR7De6Goz4?t=2415"
3,1,"Learn the basics","Things to Know in C++/Java/Python or any language","If ElseIf",Easy,"","https://youtu.be/EAR7De6Goz4?t=1259"
4,1,"Learn the basics","Things to Know in C++/Java/Python or any language","Switch Case",Easy,"","https://youtu.be/EAR7De6Goz4"
5,1,"Learn the basics","Things to Know in C++/Java/Python or any language","What are arrays, strings?",Easy,"","https://youtu.be/EAR7De6Goz4?t=2415"
6,1,"Learn the basics","Things to Know in C++/Java/Python or any language","For loops",Easy,"","https://youtu.be/EAR7De6Goz4?t=3096"
7,1,"Learn the basics","Things to Know in C++/Java/Python or any language","While loops",Easy,"","https://youtu.be/EAR7De6Goz4?t=3459"
8,1,"Learn the basics","Things to Know in C++/Java/Python or any language","Functions (Pass by Reference and Value)",Easy,"","https://youtu.be/EAR7De6Goz4?t=3677"
9,1,"Learn the basics","Things to Know in C++/Java/Python or any language","Theory with examples",Easy,"","https://youtu.be/FPu9Uld7W-E"
10,1,"Learn the basics","Build-up Logical Thinking","Easy and Medium",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
11,1,"Learn the basics","Build-up Logical Thinking","Hard",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
12,1,"Learn the basics","Patterns","Pattern 1",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
13,1,"Learn the basics","Patterns","Pattern 2",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
14,1,"Learn the basics","Patterns","Pattern 3",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
15,1,"Learn the basics","Patterns","Pattern 4",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
16,1,"Learn the basics","Patterns","Pattern 5",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
17,1,"Learn the basics","Patterns","Pattern 6",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
18,1,"Learn the basics","Patterns","Pattern 7",Easy,"","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3"
